Sentiment,Tweets,Cleaned_Tweets,Word_Count,Character_Count
0,Wants to go home... bored of work now ,want go home bored work,5,23
0,@jeffLmsu good call on holding for take 3..... cause take 1 was a *huge* failure ,good call holding take 3 cause take 1 wa huge failure,11,53
1,just watched the new moon trailer aa i love it ,watched new moon trailer aa love,6,32
0,Should I go check what it iss???? ,go check,2,8
1,the mammaaaaa &amp; sister.  http://twitpic.com/4yivp,mammaaaaa amp sister,3,20
0,Oh my ouchie! My back    maybe this is the reason i woke up!,oh ouchie back maybe reason woke,6,32
1,"@TigerGoesRoar LOL.  By best friend, I'm assuming you mean Snooter?    Great pic, by the way!",lol best friend im assuming mean snooter great pic way,10,54
0,Favicon ripoff from Smashing Magazine  http://is.gd/12uKp &lt;-&gt; http://is.gd/12uLd = See the similarity,favicon ripoff smashing magazine ltgt see similarity,7,52
0,@GoldenTouch4 I didn't have a topic  I'm trying to branch out &amp; not do just relationship stuff,didnt topic im trying branch amp relationship stuff,8,51
1,My life &gt; your life.    ,life gt life,3,12
0,@ibabycurlzi yes you are ,yes,1,3
1,@adammshankman pervs on twitter? you don't say! oh and only the pervs would assume freudian ,pervs twitter dont say oh pervs would assume freudian,9,53
0,Nooo im loosin followers  aweee,nooo im loosin follower aweee,5,29
1,"In the car wiff Danny, going to the 209! ",car wiff danny going 209,5,24
1,@saraswathi Congratulations! So where is it finally? And what will you be doing? ,congratulation finally,2,22
1,Temporary Happiness ,temporary happiness,2,19
1,Had a great get together with dgbians ,great get together dgbians,4,26
1,"@JulieOne they're still young.  just wait a few years until they're playing pranks on the first asleep, playing music/games all night...",theyre still young wait year theyre playing prank first asleep playing musicgames night,13,87
0,glad for two days off - five straight after tho   goodbye weekend,glad two day five straight tho goodbye weekend,8,46
0,Reading EIP again. I really must not have taken in alot of this first time around.  http://www.enterpriseintegrationpatterns.com/,reading eip really must taken alot first time around,9,52
0,"@BevaniteEllie did @kerryMP put on a good show on The Politics Show? I missed it   If I had known she was on, I would have watched!",put good show politics show missed known wa would watched,10,57
1,http://twitpic.com/4hebm -   for all my friends xx,friend xx,2,9
0,"Hum, what happened??? Where's the sun???! ",hum happened wheres sun,4,23
0,@tyehut what is so scary about it?? ,scary,1,5
1,"@mjsmith11 Very true. Their tiredness worries me, I guess. I hope they get their rest today. Keeping optimistic is key, eight?  #Capitals",true tiredness worry guess hope get rest today keeping optimistic key eight # capital,14,85
1,YAY! The Hills premiere in Australia is tonight  @LoBosworth @stephaniepratt @LaurenConrad @heidimontag cant wait,yay hill premiere australia tonight cant wait,7,45
0,"Finally finished watching movie &quot;Pulse.&quot; You know, in some movies you root for everyone to just die? Sometimes even that does not help. ",finally finished watching movie quotpulsequot know movie root everyone die sometimes even doe help,14,98
1,@MarioSoulTruth  thanks for the mozes message ,thanks mozes message,3,20
1,So I like what I see when I'm looking at me when I'm walking pass the mirror..sing with me ,like see im looking im walking pas mirrorsing,8,45
1,OH: @emmzalmighty was the thing you didnt wanna hear that penis in vagina thing?  im sorry :3 http://tinyurl.com/mr329d,oh wa thing didnt wan na hear penis vagina thing im sorry 3,13,59
1,happy birthday evee! ,happy birthday evee,3,19
0,well shit...maybe Napa won't happen this weekend. ,well shitmaybe napa wont happen weekend,6,39
0,I'm about to wash a car  it's so boring ,im wash car boring,4,18
1,@MissJia lmao girlll I swear u need a show or sumthin u keep me entertained ,lmao girlll swear u need show sumthin u keep entertained,10,56
1,@OneNil same thing. as long as there's words. ,thing long word,3,15
0,I do nothing tonight  ...,nothing tonight,2,15
1,"@TheDailyBlonde I love Banana Republic-their perfume, Classic, is one of my faves-thanks for the link.  ",love banana republictheir perfume classic one favesthanks link,8,62
1,It's Offically not at work today!  ooo I can't wait for Big Brother to be on ,offically work today ooo cant wait big brother,8,46
1,9:10 ok I'm outta here left a couple of cafe' supressos ,910 ok im outta left couple cafe supressos,8,42
1,"@janl yep, the 12&quot; powerbook was a hallmark in portable computing history. i don't miss it when compiling Firefox tho ",yep 12quot powerbook wa hallmark portable computing history dont miss compiling firefox tho,13,91
1,@hkellick Any last words ,last word,2,9
1,@dirklancer Beer! I'm so jealous. I wanna be there now. ,beer im jealous wan na,5,22
0,"lovely date, he was such a gentleman. weather today is rubbish tho ",lovely date wa gentleman weather today rubbish tho,8,50
1,only one thing left to say: agrrr! ,one thing left say agrrr,5,24
1,Spending time with Angela before she leaves. ,spending time angela leaf,4,25
1,Singapore was OFF THE HOOK last night  forced my self up early to see the place in the day as i leave at 11pm tonight  not enough time!,singapore wa hook last night forced self early see place day leave 11pm tonight enough time,16,91
0,i have a really stiff neck ,really stiff neck,3,17
0,@JessiicaRabbit Aww chick hope u feel better soon ,aww chick hope u feel better soon,7,33
1,@MattKern there's a one-line function call to use in a template to grab any feed now. ,oneline function call use template grab feed,7,44
0,loving the good weather hating the sunburn ,loving good weather hating sunburn,5,34
1,"my arms, legs, thighs, ankles, feet, and legs are sore from yesterday and today. ''( but that's the whole point. ",arm leg thigh ankle foot leg sore yesterday today thats whole point,12,67
1,Watchin sex and the city with my madre ,watchin sex city madre,4,22
1,@AdamSevani hey. follow me? ,hey follow,2,10
0,Can't get the damn google desktop gadget for google reader to work ,cant get damn google desktop gadget google reader work,9,54
0,@ThatKevinSmith I can't believe I missed that show. ,cant believe missed show,4,24
0,@jansmells maybe you should stop being so lazy ,maybe stop lazy,3,15
0,"@ifahmi yeah, I think I will do the same thing. ",yeah think thing,3,16
1,@MalikaDudley Happy Belated Birthday. Mine's tomorrow ,happy belated birthday mine tomorrow,5,36
1,@WhereisKevinn well my night seems pretty boring in comparison to the strokes you've experienced tonight ,well night seems pretty boring comparison stroke youve experienced tonight,10,74
1,@xokayy ps when are you free this week? we need to hang out again. ,p free week need hang,5,21
0,done with marking for now! yippee!! a lil short break for now!!! but more to come end of tis month. but when will the flu go away? ,done marking yippee lil short break come end ti month flu go away,13,65
1,Hangin out at Luba's. Last night was pretty intense. ,hangin luba last night wa pretty intense,7,40
1,@jodyg Rock N Roll ,rock n roll,3,11
1,@titicuervo promise you'll report me? ,promise youll report,3,20
0,"i heard this big loud row, so i thought maybe jonas brothers are in their plane, untill i realised it was next door getting their bin out ",heard big loud row thought maybe jonas brother plane untill realised wa next door getting bin,16,93
0,@RedBullMom I think you are right. Just bought some new cartridges and no envelopes inside. ,think right bought new cartridge envelope inside,7,48
1,"@koningwoning positive vibes, Thanks! Al dat juridische gelul ",positive vibe thanks al dat juridische gelul,7,44
1,and chic-flick movies ,chicflick movie,2,15
